GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G2200750,1850,Louisiana,7390,4779,4587835,39774,96259,136033,33.725897392544454,64.66847090663059,303.1213498633486,24000,149090
G1800750,1850,Indiana,7047,0,799400,29576,74972,104548,7.646248613077247,0,68.72289190736551,0,170455
G5101430,1850,Virginia,28796,12798,2773981,210580,300295,510875,5.429862490824566,44.44367273232393,48.802474508949786,24400,653815
G1801250,1850,Indiana,7720,0,388106,33663,57634,91297,4.251026868352739,0,38.20734516393632,4000,407231
G4701810,1850,Tennessee,8170,930,530852,33230,284772,318002,1.669335412984824,11.383108935128519,15.00363942489224,121200,458148
G1900870,1850,Iowa,8707,0,1118118,50241,80651,130892,8.542294410659169,0,76.77636513421746,0,642910
G5101570,1850,Virginia,9782,3844,2039812,96068,69727,165795,12.303217829246961,39.29666734819055,110.57876244646887,0,281216
G1701590,1850,Illinois,4012,0,179126,13255,25460,38715,4.626785483662663,0,41.58458543036452,0,113205
G5000130,1850,Vermont,4145,0,1189682,33171,15113,48284,24.639259381989895,0,221.4525376914953,0,23245
G3700710,1850,North Carolina,8073,2112,655076,57519,156583,214102,3.0596444685243482,26.16127833519138,27.499447994111843,214000,329377
G4500750,1850,South Carolina,23582,15384,3048940,181393,732681,914074,3.335550513415763,65.23619709948265,29.979234129659755,4009600,614418
G2900690,1850,Missouri,1229,13,38455,3062,3975,7037,5.46468665624556,1.0577705451586654,49.115466863383325,0,77360
G1303050,1850,Georgia,1499,406,91079,5356,69727,75083,1.2130442310509704,27.084723148765843,10.90258920260496,34800,21545
G5501270,1850,Wisconsin,17862,0,3003119,116750,149905,266655,11.262188970767472,0,101.22221162867619,0,215242
G1302510,1850,Georgia,6847,3673,609375,56008,454748,510756,1.1930843690529334,53.64393164889732,10.723194115158934,1574400,264860
G0500390,1850,Arkansas,6877,2542,519871,24065,64625,88690,5.86166422370053,36.96379235131598,52.68341865757399,622400,209940
G1301510,1850,Georgia,14726,4969,1742760,104199,215952,320151,5.443556321860622,33.743039521933994,48.925551813613815,3740800,514796
G2601610,1850,Michigan,28567,0,5038400,182510,161948,344458,14.627037258533697,0,131.46476805946668,0,389218
G4200050,1850,Pennsylvania,29560,0,3663903,138601,191196,329797,11.109570432720734,0,99.850507957504945,0,195501
G2101350,1850,Kentucky,7202,322,816528,34662,86054,120716,6.7640412207163925,4.470980283254652,60.793795387877104,0,398686
G1801630,1850,Indiana,11414,0,899785,27754,54923,82677,10.883135575794961,0,97.81535856804415,0,408075
G0601150,1850,California,9673,0,0,0,0,0,NA,0,NA,0,0
G4701610,1850,Tennessee,9719,2575,330489,39118,184722,223840,1.4764519299499643,26.4944953184484,13.270042804367746,16000,584050
G4804090,1850,Texas,200,3,22828,210,40255,40465,0.5641418509823304,1.5,5.0703895998324,0,4350
G1303170,1850,Georgia,12107,8281,1344855,97545,190547,288092,4.668144203934854,68.39844717931774,41.95630900443607,4809600,418176
G2100050,1850,Kentucky,6260,1282,848029,43208,35333,78541,10.797277854878343,20.47923322683706,97.04368723317882,0,338595
G5100290,1850,Virginia,13837,8161,1991262,141536,166342,307878,6.4676982441096795,58.97954758979548,58.130326361507855,800,304711
G4803210,1850,Texas,2124,1208,363700,8475,50412,58887,6.176235841526992,56.873822975517896,55.51072291917486,645200,103360
G5101197,1850,Virginia,10204,1061,2039101,94311,174890,269201,7.574641253189996,10.397883183065465,68.07929985297075,0,250456
G3900110,1850,Ohio,11338,0,1328642,48285,93179,141464,9.39208561895606,0,84.41411173478392,0,289544
G5101555,1850,Virginia,1765,23,151873,7325,43178,50503,3.0072074926242007,1.3031161473087818,27.028155363033672,0,49511
G2901850,1850,Missouri,3556,448,182475,15791,51047,66838,2.7301086208444296,12.598425196850393,24.537648347553535,0,126615
G3701430,1850,North Carolina,7332,3252,1032968,46660,76022,122682,8.41988229732153,44.35351882160393,75.67615052457647,800,418355
G0600830,1850,California,1185,0,745032,9284,1265568,1274852,0.5844066605378506,0,5.252525492487726,0,3065
G3600570,1850,New York,31992,0,8680704,192260,46868,239128,36.30149543340805,0,326.2702892604233,0,219648
G2102230,1850,Kentucky,5963,941,963197,37287,38002,75289,12.793329702878243,15.780647325171893,114.98378601011201,0,286795
G1801430,1850,Indiana,5885,0,648108,32083,56849,88932,7.2876804749696396,0,65.50015607394648,0,251375
G2750155,1850,Minnesota Territory,160,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G4701470,1850,Tennessee,16145,4616,1306276,98700,167676,266376,4.903880229450101,28.5908950139362,44.075055362283884,2800,858615
G3701130,1850,North Carolina,6389,549,365356,32436,110083,142519,2.5635599463931125,8.592894036625449,23.040743508223898,0,225397
G2201170,1850,Louisiana,3408,1037,106640,13071,88523,101594,1.0496682874972931,30.428403755868544,9.43420020856928,277200,69790
G3700390,1850,North Carolina,6838,337,387745,23952,73172,97124,3.9922676166549977,4.9283416203568295,35.88167083861538,0,204827
G1900530,1850,Iowa,965,0,15635,2131,7980,10111,1.5463356740183958,0,13.898143358341756,0,33420
G2400050,1850,Maryland,210646,6718,10242218,173106,119551,292657,34.99734501481256,3.1892369188116554,314.54885659672476,0,755224
G1201090,1850,Florida,2525,993,112060,2486,12050,14536,7.709135938359934,39.32673267326733,69.28811010473798,0,14390
G4803390,1850,Texas,2384,945,175372,8642,58198,66840,2.6237582286056256,39.63926174496644,23.581793145875515,443600,80441
G5100190,1850,Virginia,24080,10061,3213072,219172,219666,438838,7.321772499191045,41.78156146179402,65.80656809558334,3200,602262
G2901690,1850,Missouri,3998,113,205145,15500,18928,34428,5.958667363773673,2.8264132066033016,53.55526270126886,0,246430
G5101110,1850,Virginia,11692,7187,1026166,114862,123778,238640,4.3000586657727125,61.46938077317824,38.648032759204106,1600,240065
G5101933,1850,Virginia,4284,17,491991,15955,61797,77752,6.327695750591625,0.3968253968253968,56.872013074081174,0,124198
G3600950,1850,New York,33548,0,7347157,205745,105444,311189,23.60995086587251,0,212.20132687270433,0,116831
G3900090,1850,Ohio,18215,0,2125967,82168,103109,185277,11.474532726674115,0,103.13071313350801,0,443546
G4200670,1850,Pennsylvania,13029,0,2617450,73412,42790,116202,22.524999569714808,0,202.4500103221175,0,138633
G4200790,1850,Pennsylvania,56072,0,6100255,134580,147889,282469,21.596192856561252,0,194.10208880126615,0,290122
G3600370,1850,New York,28488,0,10505382,203871,69708,273579,38.39981138903205,0,345.12951656297554,0,390424
G0101090,1850,Alabama,15920,3794,963742,93431,165234,258665,3.7258307076720856,23.831658291457288,33.48699132677614,3471600,531192
G2200790,1850,Louisiana,16561,11340,2742040,69653,124767,194420,14.103693035695915,68.47412595857737,126.76105905438494,1688800,357480
G2901390,1850,Missouri,5489,1037,200858,28390,97869,126259,1.590841048954926,18.892330114775007,14.298148409946926,0,344721
G4950535,1850,Utah Territory,365,0,4520,592,712,1304,3.4662576687116564,0,31.15400285082796,0,47
G4801870,1850,Texas,1511,335,193835,4433,89449,93882,2.0646662832065785,22.17074784910655,18.55679104690842,72800,80330
G1801050,1850,Indiana,11286,0,1375679,81976,94139,176115,7.811254010163814,0,70.20592609078429,0,710463
G4701190,1850,Tennessee,29520,12670,4177514,143730,144434,288164,14.497001707361086,42.920054200542005,130.29603557644666,3988800,2016600
G1800850,1850,Indiana,10243,0,1295348,46679,110040,156719,8.265417722165148,0,74.28785505588951,0,341556
G1801090,1850,Indiana,14576,0,1394149,83196,119945,203141,6.862962178979132,0,61.68287638250192,0,1213153
G3700610,1850,North Carolina,13514,6007,1407443,93018,334030,427048,3.2957489556209136,44.45019979280746,29.62150600800254,184400,372530
G1800130,1850,Indiana,4846,0,341145,16984,48586,65570,5.202760408723502,0,46.76132823841439,0,179304
G2900290,1850,Missouri,2338,130,240732,20305,34440,54745,4.397333089779889,5.560307955517536,39.522315046463675,0,256054
G2100410,1850,Kentucky,5526,949,996588,30663,36601,67264,14.816068030447193,17.1733622873688,133.1637373139007,0,354510
G1700330,1850,Illinois,7135,0,529920,34697,65041,99738,5.313120375383504,0,47.75322066088998,0,453955
G4201290,1850,Pennsylvania,51726,0,12576344,364203,145524,509727,24.672705193172032,0,221.75314168476504,0,839711
G3300050,1850,New Hampshire,30144,0,5801093,278697,94993,373690,15.523811180390163,0,139.52478551582865,0,177301
G2100730,1850,Kentucky,12462,3365,1740210,61895,52969,114864,15.150177601337234,27.002086342481142,136.16664463321317,0,549723
G4701490,1850,Tennessee,29122,11978,4383496,149563,170994,320557,13.674622610019435,41.13041686697343,122.90466332668379,5628000,1667320
G2101990,1850,Kentucky,14195,1307,1099541,75529,247002,322531,3.409101760760981,9.207467418104967,30.64029744014543,0,558862
G2800950,1850,Mississippi,21172,11717,2412851,123353,210366,333719,7.230187672862498,55.34196108067258,64.98342272866876,7125600,901136
G2800510,1850,Mississippi,13928,8377,1338681,89395,159434,248829,5.37992356196424,60.14503159103963,48.353633805004044,5054000,543155
